Id;product_1;product_2;product_3;product_4;product_5;product_6;product_7;product_8;product_9;product_10;product_11;product_12;product_13;product_14;product_15;product_16;product_17;product_18;product_19;product_20
0;shrimp;almonds;avocado;vegetables mix;green grapes;whole weat flour;yams;cottage cheese;energy drink;tomato juice;low fat yogurt;green tea;honey;salad;mineral water;salmon;antioxydant juice;frozen smoothie;spinach;olive oil
1;burgers;meatballs;eggs;;;;;;;;;;;;;;;;;
2;chutney;;;;;;;;;;;;;;;;;;;
3;turkey;avocado;;;;;;;;;;;;;;;;;;
4;mineral water;milk;energy bar;whole wheat rice;green tea;;;;;;;;;;;;;;;
5;low fat yogurt;;;;;;;;;;;;;;;;;;;
6;whole wheat pasta;french fries;;;;;;;;;;;;;;;;;;
7;soup;light cream;shallot;;;;;;;;;;;;;;;;;
8;frozen vegetables;spaghetti;green tea;;;;;;;;;;;;;;;;;
9;french fries;;;;;;;;;;;;;;;;;;;
10;eggs;pet food;;;;;;;;;;;;;;;;;;
11;cookies;;;;;;;;;;;;;;;;;;;
12;turkey;burgers;mineral water;eggs;cooking oil;;;;;;;;;;;;;;;
13;spaghetti;champagne;cookies;;;;;;;;;;;;;;;;;
14;mineral water;salmon;;;;;;;;;;;;;;;;;;
15;mineral water;;;;;;;;;;;;;;;;;;;
16;shrimp;chocolate;chicken;honey;oil;cooking oil;low fat yogurt;;;;;;;;;;;;;
17;turkey;eggs;;;;;;;;;;;;;;;;;;
18;turkey;fresh tuna;tomatoes;spaghetti;mineral water;black tea;salmon;eggs;chicken;extra dark chocolate;;;;;;;;;;
19;meatballs;milk;honey;french fries;protein bar;;;;;;;;;;;;;;;
20;red wine;shrimp;pasta;pepper;eggs;chocolate;shampoo;;;;;;;;;;;;;
21;rice;sparkling water;;;;;;;;;;;;;;;;;;
22;spaghetti;mineral water;ham;body spray;pancakes;green tea;;;;;;;;;;;;;;
23;burgers;grated cheese;shrimp;pasta;avocado;honey;white wine;toothpaste;;;;;;;;;;;;
24;eggs;;;;;;;;;;;;;;;;;;;
25;parmesan cheese;spaghetti;soup;avocado;milk;fresh bread;;;;;;;;;;;;;;
26;ground beef;spaghetti;mineral water;milk;energy bar;black tea;salmon;frozen smoothie;escalope;;;;;;;;;;;
27;sparkling water;;;;;;;;;;;;;;;;;;;
28;mineral water;eggs;chicken;chocolate;french fries;;;;;;;;;;;;;;;
29;frozen vegetables;spaghetti;yams;mineral water;;;;;;;;;;;;;;;;
30;herb & pepper;tomato sauce;light cream;magazines;;;;;;;;;;;;;;;;
31;mineral water;chocolate;avocado;eggs;;;;;;;;;;;;;;;;
32;turkey;french fries;strawberries;;;;;;;;;;;;;;;;;
33;frozen vegetables;strong cheese;chocolate;;;;;;;;;;;;;;;;;
34;cookies;;;;;;;;;;;;;;;;;;;
35;pickles;spaghetti;salmon;escalope;;;;;;;;;;;;;;;;
36;energy bar;french fries;;;;;;;;;;;;;;;;;;
37;red wine;ground beef;mineral water;;;;;;;;;;;;;;;;;
38;mineral water;cake;cottage cheese;;;;;;;;;;;;;;;;;
39;pickles;champagne;green tea;;;;;;;;;;;;;;;;;
40;spaghetti;;;;;;;;;;;;;;;;;;;
41;fresh tuna;frozen vegetables;spaghetti;mineral water;honey;whole wheat rice;frozen smoothie;escalope;;;;;;;;;;;;
42;spaghetti;;;;;;;;;;;;;;;;;;;
