cod_cliente;qtd_comprada;ativo;data_compra
3939;81;FLRY3.SA;2022-06-09
4521;50;BBDC4.SA;2022-03-20
626;77;IRDM11.SA;2022-01-06
3811;58;ITUB4.SA;2022-04-24
1292;59;BBDC4.SA;2022-12-31
1401;95;PETR4.SA;2022-06-24
4910;30;PETR4.SA;2022-09-20
2275;31;RBVA11.SA;2022-04-19
897;24;IRDM11.SA;2022-09-11
4271;63;B3SA3.SA;2022-04-10
998;2;HGBS11.SA;2022-04-29
3663;51;ITUB4.SA;2022-04-29
880;51;HGBS11.SA;2022-12-30
3311;39;HGBS11.SA;2022-11-21
4268;2;IRDM11.SA;2022-02-17
2691;76;VALE3.SA;2022-08-07
300;44;RBVA11.SA;2022-07-23
2794;88;ITUB4.SA;2022-10-05
1883;73;VALE3.SA;2022-06-08
4920;44;IRDM11.SA;2022-03-23
4136;37;HGLG11.SA;2022-01-03
2170;46;FLRY3.SA;2022-11-04
3670;16;PETR4.SA;2022-02-06
3970;77;VINO11.SA;2022-05-20
4473;57;MGLU3.SA;2022-03-13
1594;57;B3SA3.SA;2022-05-02
3525;40;HGLG11.SA;2022-06-19
2726;22;RBVA11.SA;2022-10-14
2110;46;HGLG11.SA;2022-02-08
1;26;FLRY3.SA;2022-02-15
2498;61;PETR4.SA;2022-12-07
4944;41;BBDC4.SA;2022-04-11
1535;40;BBDC4.SA;2022-06-02
4554;16;RBVA11.SA;2022-04-29
3701;86;ITUB4.SA;2022-12-16
1543;14;MGLU3.SA;2022-05-02
1220;48;VALE3.SA;2022-11-24
1073;77;HGBS11.SA;2022-01-23
2440;56;PETR4.SA;2022-08-02
35;35;PETR4.SA;2022-02-08
2996;28;HGLG11.SA;2022-11-10
1331;43;ITUB4.SA;2022-03-09
1454;3;VINO11.SA;2022-08-18
921;77;VINO11.SA;2022-08-25
1312;47;ITUB4.SA;2022-09-07
2165;6;IRDM11.SA;2022-08-06
2264;5;VALE3.SA;2022-05-20
188;52;MGLU3.SA;2022-05-31
1697;82;RBVA11.SA;2022-05-22
1958;47;RBVA11.SA;2022-03-16
2790;58;IRDM11.SA;2022-06-04
4571;1;ITUB4.SA;2022-08-20
2481;24;VINO11.SA;2022-12-17
4513;16;VINO11.SA;2022-11-05
114;19;ITUB4.SA;2022-08-20
2473;16;ITUB4.SA;2022-05-20
3244;45;VALE3.SA;2022-09-06
2548;20;ITUB4.SA;2022-10-10
2134;44;RBVA11.SA;2022-05-30
3391;16;HGLG11.SA;2022-07-24
1682;38;VALE3.SA;2022-08-07
216;92;MGLU3.SA;2022-05-25
2160;75;IRDM11.SA;2022-09-27
54;82;PETR4.SA;2022-03-19
26;71;BBDC4.SA;2022-10-04
1359;100;FLRY3.SA;2022-09-03
990;98;PETR4.SA;2022-01-09
267;34;MGLU3.SA;2022-05-08
885;71;HGLG11.SA;2022-10-26
4569;18;IRDM11.SA;2022-09-15
418;63;MGLU3.SA;2022-09-25
316;26;B3SA3.SA;2022-03-06
4543;31;RBVA11.SA;2022-09-18
2532;22;IRDM11.SA;2022-11-02
2884;58;RBVA11.SA;2022-11-18
2350;38;VALE3.SA;2022-12-09
3523;87;FLRY3.SA;2022-05-21
839;53;VINO11.SA;2022-06-27
4198;41;VALE3.SA;2022-06-26
3461;6;ITUB4.SA;2022-06-13
2791;32;BBDC4.SA;2022-08-26
2566;62;B3SA3.SA;2022-09-18
3418;47;RBVA11.SA;2022-07-16
3543;33;BBDC4.SA;2022-05-23
545;58;ITUB4.SA;2022-12-17
3093;12;B3SA3.SA;2022-04-20
33;41;HGBS11.SA;2022-03-22
3878;54;HGLG11.SA;2022-12-28
2140;70;HGBS11.SA;2022-06-24
1945;12;VALE3.SA;2022-12-28
2941;15;RBVA11.SA;2022-03-16
2527;30;HGBS11.SA;2022-11-11
2604;65;RBVA11.SA;2022-02-09
3548;47;HGBS11.SA;2022-09-30
1505;13;MGLU3.SA;2022-08-13
1907;49;PETR4.SA;2022-08-25
3375;37;IRDM11.SA;2022-02-02
3528;34;B3SA3.SA;2022-01-14
4903;32;FLRY3.SA;2022-04-26
4367;32;BBDC4.SA;2022-09-03
4499;2;BBDC4.SA;2022-11-17
2591;77;HGBS11.SA;2022-09-27
3608;28;IRDM11.SA;2022-05-22
2676;36;VINO11.SA;2022-08-21
2070;51;B3SA3.SA;2022-09-29
1961;11;ITUB4.SA;2022-03-27
4021;9;B3SA3.SA;2022-09-05
905;12;MGLU3.SA;2022-06-27
1737;90;RBVA11.SA;2022-05-12
1948;67;PETR4.SA;2022-03-25
3560;26;HGLG11.SA;2022-10-13
2591;49;IRDM11.SA;2022-06-08
1909;64;PETR4.SA;2022-10-15
2465;77;PETR4.SA;2022-04-11
4007;21;IRDM11.SA;2022-06-25
2072;71;ITUB4.SA;2022-09-22
3566;12;BBDC4.SA;2022-02-24
262;27;MGLU3.SA;2022-10-09
3030;57;BBDC4.SA;2022-09-16
3736;62;BBDC4.SA;2022-04-15
1960;44;HGLG11.SA;2022-09-04
